"","OTU","destination","shared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"70","2eef066edc32e6009723e7da97135edf","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Order_Bacillales","Order_Bacillales","Order_Bacillales_H"
"71","3017b22e4b5b68c52600cb9e019588b1","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomicrobium","Sphingomonasarenae"
"72","30cfacf248039e5b1f840115bff89215","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacteriumkoreense"
"73","3190ea7b37383fa02f757f43964f9998","eggs","shared","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","UBA1930","UBA1930sp002337145"
"74","31f38e67c39e25a4a8b4583dc7cd8846","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Family_Xanthobacteraceae","Family_Xanthomonadaceae_616009"
"75","32f11c6e5a377f0f6ec6243a021995cf","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria"
"76","331657258038535df96ea6665290782a","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Genus_Variovorax"
"77","33d5a2c7d222f0b503a88a922c1312e1","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Curtobacterium","Genus_Curtobacterium"
"78","3667ca3d1270344578b3819b5f56731d","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacteriumdiphtheriae"
"79","37863cca6aaaf72cfb33806cb9a46b76","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Genus_Moraxella_C_651924"
"80","38356624d04e633aa689a6ffc05a137f","both","shared","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobactersolisilvae"
"81","38a438c0ac980ee192378b94dd688973","eggs","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_592522"
"82","38c2a261f81a7ed09f39ac6f9fd0cf2e","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Variovoraxparadoxus_C_587666"
"83","3901df51425ba2a8d72bb780babe7a48","both","shared","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niabella","Niabellayanshanensis"
"84","39183d7b959435dfb732ddeab840b00e","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Genus_Bosea"
"85","394eeccf5a2a35b9e7c32243563eef03","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_595422"
"86","397062997397ae6d42ed5f445f14e788","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","LD1","UBA7692","UBA7692sp001897535"
"87","3a416378a1ecba1f97e92b7154b3b91b","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rudaea","Rudaeacellulosilytica"
"88","3a75074368d793b1de0d8090a6340a1c","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Bact-08","Bact-08sp000473305"
"89","3aaaf4f10492216973e1efd8f233a8ff","lost","lost","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Genus_Paenibacillus_A"
"90","3ac58b15912f864168f948c3fed4a03a","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Genus_Corynebacterium"
"91","3b0c59f289139b6c1c6133e175296aac","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Dermatophilaceae","Family_Dermatophilaceae","Family_Dermatophilaceae_390796"
"92","3bd21c1f2b1ae487f30791218b8444c0","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Family_Caulobacteraceae","Family_Caulobacteraceae"
"93","3bdf3962a4d6b9738dc1bfa095f6cc8e","both","shared","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Genus_Sphingobacterium"
"94","3dcf95f04c5e5084618a820fded0a048","lost","lost","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Genus_Clostridium_T"
"95","3e00a33b844a56c2e00acedeffc43b5e","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria"
"96","3e112563e0ef973d16a7554ff4166b12","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family_Sphingomonadaceae","Family_Sphingomonadaceae"
"97","3e4ef7b82401136b6a3729a771f4825b","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Genus_Methylobacterium"
"98","3ea027ac9c30306db8fd5fd74cf30c63","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Genus_Rhizobium_A_501058"
"99","438dc2a2ea2405a782df5830ae62100e","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Genus_Agrobacterium"
"100","43f41dd4045f31804b91facdd53eab41","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_A_615274maltophilia_615059"
"101","4472b8a122f7775d492278da34a2c780","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacterbrevis"
"102","44d2df836124b3a024baa940060336ea","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
"103","47ccf6aac529c32aefdbad47e858570c","lost","lost","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Genus_Veillonella_A"
"104","4810fbab877c32e917880c61301fe5e1","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","QFOI01","QFOI01sp004337365"
"105","481df8129fc0a9497a4c4338e683d900","lost","lost","Bacteria","Firmicutes","Clostridia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcusprovencensis"
"106","49a361dc4554ca6f03bc8d8bf47e329c","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","Genus_Lysinibacillus_304693"
"107","49bc4395980e4ae5228b71f31433b928","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Genus_Variovorax"
"108","4a765a31e0cf23936b0d98af5f0b7b81","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacterbaumannii"
"109","4bb2a60ebd87faa796298b17bcc4ebef","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Genus_Pseudomonas_B_650451"
"110","4bf82ca2013ad1107674f4014aea725e","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azonexus","Azonexusagitatus"
"111","4ca76612b5cecf33d2c41ec0a47779ed","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_592522"
"112","4d723a182561c3d3e0268d0a49d1c1b1","lost","lost","Bacteria","Firmicutes","Clostridia","Peptostreptococcales","Anaerovoracaceae","Anaerovorax","Anaerovoraxodorimutans"
"113","4db91a7e3a86803d4143abb8b533885d","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Geodermatophilaceae","Blastococcus","Blastococcusaggregatus"
"114","4e5677a5d38222d4cc8bc32aa53bf4c5","lost","lost","Bacteria","Firmicutes","Bacilli","Lactobacillales","Order_Lactobacillales","Order_Lactobacillales","Order_Lactobacillales"
"115","4e6dc966ff878651c691ea5e0ae83425","both","shared","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Leucobacter","Genus_Leucobacter"
"116","4f9de03bb2992296442a76bf3d144dcd","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
"117","50327287c87739f3f9f69fbd4be61170","both","shared","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Family_Chitinophagaceae","Family_Chitinophagaceae_929731"
"118","50a3b56e0b7db75ee9daccf7a751ba41","late water","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"119","50cd0822f350f8f5e1f8c59e67e10980","eggs","shared","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobactersolisilvae"
"120","524c385df0ab7e16602e53b507548e80","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Bact-08","Bact-08sp000473305"
"121","5412d2807b8f298d1409593699d32beb","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacteriumthermophilum"
"122","541ec62b0f90585ad0169ee26ccab743","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus","Genus_Methylophilus"
"123","54e7b2139640ec28fbaf7f0491cad845","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","JC017","JC017sp004296775"
"124","55dc51d062e8fc16a9863e5831c81e7e","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Genus_Pelomonas"
"125","565eb788433094300eceacd42ade4899","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Rhodococcus","Genus_Rhodococcus_B"
"126","56a83a5563d39e60b1403d155627944b","both","shared","Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Genus_Nocardioides_A_392796"
"127","574d164310944193d8fc13dc10346e58","eggs","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Genus_Sphingomonas_L_486704"
"128","57acb5e15beca0ae3ae316d707263900","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","JC017","JC017sp004296775"
"129","588b5ccdde9b0d39d61568731d7e223f","eggs","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"130","5a643416912cd501b32774890bd72a5f","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_B_650451rhizoryzae"
"131","5b0166761098e7f06ef757c1472d2502","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","Genus_Vibrio_678715"
"132","5b1302e60016e322bbdc6979447a86ed","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea","Genus_Cedecea"
"133","5b29df8b5b26c111a279f57fd53e7b8e","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Anoxybacillaceae","Family_Anoxybacillaceae","Family_Anoxybacillaceae"
"134","5bb9fd70e678c4a32b36080eff2ac25c","lost","lost","Bacteria","Firmicutes","Bacilli","DSM-16016","Caldibacillaceae","Bacillus","Bacillus_Jthermoamylovorans"
"135","5c96ec70d2839b27eb48f2226c96e2ca","eggs","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"136","5e2d110e486533b28818cfce79960e35","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobiumacidiphilum"
"137","5ea47811a8275ec5dadade92ce4f0434","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Genus_Burkholderia"
"138","5f29d9b4f0b89c4e06ffe87ff913822d","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Immundisolibacterales","Immundisolibacteraceae","Immundisolibacter","Immundisolibactercernigliae"
"139","5f2b6696771fd9a4371f3c229e6b137e","lost","lost","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Genus_Veillonella_A"
"140","5f62852c777d05477e044c49c5941041","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Genus_Flavobacterium"
"141","5f6d574b15cbc75cdffbc84b329bb26a","lost","lost","Bacteria","Firmicutes","Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli","Class_Bacilli"
"142","5fb4727e4c4bba302c839b568cfde71c","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","Roseiarcusfermentans"
"143","619c3de5eeb611ade520111aaeba53df","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Rhodanobacterginsengisoli"
"144","625ecf7bcebfadce2c2bf682ed45b2b2","eggs","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
