,Post_Quant,Sample_or_Control,exp,Control_Type,gno_trt,gno_source1,gno_source2,gno_prop_mom,gno_type,gno_well,is.neg
GNO12,8.3,Sample,gno,NA,mom:lab (1:1),mom,lab,0.5,pupation water,6,FALSE
GNO46,14,Sample,gno,NA,mom:un_field (1:1),mom,un_field,0.9,pupation water,3,FALSE
GNO95,0.572,Sample,gno,NA,col_field,col_field,NA,NA,pupation water,1,FALSE
GNO52,6.4,Sample,gno,NA,dil_cnv,cnv,NA,NA,pupation water,2,FALSE
GNO38,12,Sample,gno,NA,mom:lab (10:1),mom,lab,0.9,pupation water,1,FALSE
GNO77,0.468,Sample,gno,NA,un_field,un_field,NA,0,pupation water,6,FALSE
GNO7,13,Sample,gno,NA,mom:lab (1:1),mom,lab,0.5,arrested water,1,FALSE
GNO82,1.46,Sample,gno,NA,cnv,cnv,NA,NA,pupation water,5,FALSE
GNO86,0.285,Sample,gno,NA,mom:un_field (10:1),mom,un_field,0.9,pupation water,3,FALSE
GNO81,2.15,Sample,gno,NA,cnv,cnv,NA,NA,pupation water,4,FALSE
GNO85,0.193,Sample,gno,NA,mom:un_field (10:1),mom,un_field,0.9,pupation water,2,FALSE
GNO60,1.95,Sample,gno,NA,un_field stock,un_field,NA,NA,stock,NA,FALSE
GNO29,29,Sample,gno,NA,lab,lab,NA,0,pupation water,4,FALSE
GNO74,1,Sample,gno,NA,un_field,un_field,NA,0,pupation water,3,FALSE
GNO40,3.38,Sample,gno,NA,mom:lab (10:1),mom,lab,0.9,pupation water,3,FALSE
GNO32,4.16,Sample,gno,NA,dil_cnv,cnv,NA,NA,pupation water,1,FALSE
