,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
122,541ec62b0f90585ad0169ee26ccab743,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,Genus_Methylophilus,Other Proteobacteria
123,54e7b2139640ec28fbaf7f0491cad845,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,JC017,JC017sp004296775,Other Bacteroidota
124,55dc51d062e8fc16a9863e5831c81e7e,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Genus_Pelomonas,Other Proteobacteria
125,565eb788433094300eceacd42ade4899,lost,lost,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,Genus_Rhodococcus_B,Other Actinobacteriota
126,56a83a5563d39e60b1403d155627944b,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Genus_Nocardioides_A_392796,Nocardioides
127,574d164310944193d8fc13dc10346e58,eggs,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Genus_Sphingomonas_L_486704,Other Proteobacteria
128,57acb5e15beca0ae3ae316d707263900,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,JC017,JC017sp004296775,Other Bacteroidota
129,588b5ccdde9b0d39d61568731d7e223f,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Genus_Acinetobacter,Other Proteobacteria
130,5a643416912cd501b32774890bd72a5f,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_B_650451rhizoryzae,Pseudomonas
131,5b0166761098e7f06ef757c1472d2502,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Genus_Vibrio_678715,Other Proteobacteria
132,5b1302e60016e322bbdc6979447a86ed,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Genus_Cedecea,Other Proteobacteria
133,5b29df8b5b26c111a279f57fd53e7b8e,lost,lost,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Family_Anoxybacillaceae,Family_Anoxybacillaceae,Other Firmicutes
134,5bb9fd70e678c4a32b36080eff2ac25c,lost,lost,Bacteria,Firmicutes,Bacilli,DSM-16016,Caldibacillaceae,Bacillus,Bacillus_Jthermoamylovorans,Bacillus
135,5c96ec70d2839b27eb48f2226c96e2ca,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Genus_Acinetobacter,Other Proteobacteria
136,5e2d110e486533b28818cfce79960e35,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobiumacidiphilum,Other Proteobacteria
137,5ea47811a8275ec5dadade92ce4f0434,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Genus_Burkholderia,Other Proteobacteria
138,5f29d9b4f0b89c4e06ffe87ff913822d,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,Immundisolibactercernigliae,Other Proteobacteria
139,5f2b6696771fd9a4371f3c229e6b137e,lost,lost,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Genus_Veillonella_A,Other Firmicutes
140,5f62852c777d05477e044c49c5941041,lost,lost,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Genus_Flavobacterium,Other Bacteroidota
